Instance,Location,IsCarbonAware,MaxMakeSpan,MinMakeSpan,SlackCoeff,Makespan,CarbonConsumption(g),EnergyConsumption(kWh),CarbonSavings(%),EnergySavings(%)
144,TEX,True,98,98,1.0,98,62091.0,204.5,14.4,1.21
145,TEX,True,105,105,1.0,105,87655.75,266.5,10.79,3.79
146,TEX,True,88,88,1.0,88,105724.75,299.25,9.37,3.7
147,TEX,True,136,136,1.0,136,98407.75,322.5,7.51,2.2
148,TEX,True,96,96,1.0,96,56692.0,220.25,8.54,4.45
149,TEX,True,95,95,1.0,95,76409.25,293.5,2.83,0.51
150,TEX,True,98,98,1.0,98,45716.0,199.5,19.07,1.36
151,TEX,True,97,97,1.0,97,55758.5,238.5,13.38,1.34
152,TEX,True,99,99,1.0,99,70738.25,292.75,9.57,1.93
153,TEX,True,101,101,1.0,101,78108.5,421.5,7.58,2.26
154,TEX,True,79,79,1.0,79,50118.5,281.5,8.65,1.05
155,TEX,True,105,105,1.0,105,62734.75,344.25,7.74,3.91
156,TEX,True,106,106,1.0,106,61277.0,264.5,8.68,5.54
157,TEX,True,117,117,1.0,117,77567.25,329.0,8.65,1.86
158,TEX,True,98,98,1.0,98,59450.5,280.75,8.18,6.42
159,TEX,True,108,108,1.0,108,116493.75,343.75,2.25,0.87
160,TEX,True,105,105,1.0,105,94028.0,288.25,5.13,3.19
161,TEX,True,105,105,1.0,105,100445.0,309.5,4.84,2.52
162,TEX,True,108,108,1.0,108,39564.5,227.5,25.85,3.29
163,TEX,True,107,107,1.0,107,41227.0,236.25,49.23,5.97
164,TEX,True,106,106,1.0,106,48862.5,259.5,20.9,2.08
165,TEX,True,100,100,1.0,100,36664.5,204.5,10.5,3.42
166,TEX,True,100,100,1.0,100,48170.0,272.5,9.01,3.63
167,TEX,True,117,117,1.0,117,66851.0,334.5,16.97,2.48
168,TEX,True,116,116,1.0,116,74129.0,307.5,11.57,3.53
169,TEX,True,95,95,1.0,95,63002.0,285.75,10.34,4.35
170,TEX,True,104,104,1.0,104,58020.0,248.5,6.45,0.4
171,TEX,True,113,113,1.0,113,80945.5,342.0,7.02,4.2
172,TEX,True,99,99,1.0,99,63536.0,270.25,4.8,1.82
173,TEX,True,111,111,1.0,111,56916.5,240.5,3.64,0.93
174,TEX,True,100,100,1.0,100,64492.0,242.75,7.06,2.8
175,TEX,True,100,100,1.0,100,56792.5,225.5,13.08,8.8
