Instance,Location,IsCarbonAware,MaxMakeSpan,MinMakeSpan,SlackCoeff,Makespan,CarbonConsumption(g),EnergyConsumption(kWh),CarbonSavings(%),EnergySavings(%)
196,TEX,True,113,113,1.0,113,20267.75,59.0,9.16,0.0
197,TEX,True,103,103,1.0,103,26078.0,73.0,4.98,0.0
198,TEX,True,98,98,1.0,98,21250.0,71.75,2.22,0.0
199,TEX,True,124,124,1.0,124,17038.0,54.5,6.08,0.0
200,TEX,True,150,150,1.0,150,25438.5,81.25,6.02,0.0
201,TEX,True,114,114,1.0,114,12233.0,58.5,19.13,0.0
202,TEX,True,105,105,1.0,105,15259.5,66.5,7.32,0.0
203,TEX,True,109,109,1.0,109,20045.25,82.25,4.77,0.0
204,TEX,True,108,108,1.0,108,13006.25,53.5,9.03,0.0
205,TEX,True,99,99,1.0,99,18961.5,85.25,6.55,0.0
206,TEX,True,107,107,1.0,107,17510.75,76.25,8.46,0.0
207,TEX,True,130,130,1.0,130,22696.5,82.0,23.18,0.0
208,TEX,True,110,110,1.0,110,19316.5,65.25,21.3,0.0
209,TEX,True,117,117,1.0,117,20939.25,71.75,19.52,0.0
210,TEX,True,185,185,1.0,185,16117.5,82.5,16.79,0.0
211,TEX,True,113,113,1.0,113,17401.75,76.75,5.8,0.0
212,TEX,True,100,100,1.0,100,9250.0,45.0,18.2,0.0
213,TEX,True,123,123,1.0,123,15677.0,77.5,8.1,0.0
214,TEX,True,114,114,1.0,114,14051.75,66.75,8.04,0.0
215,TEX,True,120,120,1.0,120,17660.75,84.0,6.36,0.0
216,TEX,True,110,110,1.0,110,17574.0,79.0,4.3,0.0
217,TEX,True,113,113,1.0,113,18727.75,84.0,3.81,0.0
218,TEX,True,101,101,1.0,101,11666.0,57.75,5.83,0.0
219,TEX,True,103,103,1.0,103,31808.0,93.0,2.35,0.0
220,TEX,True,150,150,1.0,150,19596.0,74.75,17.09,0.0
221,TEX,True,123,123,1.0,123,18249.0,61.25,11.95,0.0
222,TEX,True,110,110,1.0,110,19143.5,80.0,9.1,0.0
223,TEX,True,117,117,1.0,117,17095.0,61.25,3.11,0.0
224,TEX,True,130,130,1.0,130,18956.0,65.5,7.18,0.0
225,TEX,True,126,126,1.0,126,33045.5,76.75,3.04,0.0
226,TEX,True,116,116,1.0,116,31329.25,74.0,3.31,0.0
227,TEX,True,107,107,1.0,107,32756.5,75.75,0.79,0.0
228,TEX,True,136,136,1.0,136,33822.75,90.0,5.53,0.0
229,TEX,True,128,128,1.0,128,27092.25,73.25,8.25,0.0
230,TEX,True,106,106,1.0,106,26905.25,70.0,3.96,0.0
231,TEX,True,107,107,1.0,107,22828.0,68.5,7.56,0.0
232,TEX,True,130,130,1.0,130,22311.0,67.0,11.71,0.0
233,TEX,True,117,117,1.0,117,19866.25,57.75,11.96,0.0
234,TEX,True,95,95,1.0,95,19311.0,64.75,5.23,0.0
235,TEX,True,129,129,1.0,129,14834.0,55.5,21.81,0.0
236,TEX,True,100,100,1.0,100,16715.5,59.0,14.35,0.0
237,TEX,True,115,115,1.0,115,25934.0,75.75,5.31,0.0
238,TEX,True,123,123,1.0,123,23204.75,71.0,8.89,0.0
239,TEX,True,100,100,1.0,100,22925.25,67.5,4.9,0.0
240,TEX,True,120,120,1.0,120,28776.0,69.25,1.36,0.0
241,TEX,True,112,112,1.0,112,30192.5,73.0,4.06,0.0
242,TEX,True,155,155,1.0,155,33089.25,80.75,5.63,0.0
243,TEX,True,128,128,1.0,128,21990.75,82.0,10.8,0.0
244,TEX,True,104,104,1.0,104,18498.5,65.5,23.19,0.0
245,TEX,True,102,102,1.0,102,18757.25,65.25,16.43,0.0
246,TEX,True,121,121,1.0,121,15825.0,67.75,16.99,0.0
247,TEX,True,83,83,1.0,83,19286.75,67.75,8.12,0.0
248,TEX,True,114,114,1.0,114,14732.0,61.25,20.49,0.0
249,TEX,True,131,131,1.0,131,13951.75,74.25,11.08,0.0
250,TEX,True,116,116,1.0,116,14582.25,81.75,10.35,0.0
251,TEX,True,113,113,1.0,113,11259.0,57.75,8.61,0.0
252,TEX,True,155,155,1.0,155,16637.25,65.0,8.34,0.0
253,TEX,True,104,104,1.0,104,17039.25,72.75,2.01,0.0
254,TEX,True,116,116,1.0,116,15108.0,64.0,10.49,0.0
255,TEX,True,108,108,1.0,108,20615.5,66.5,15.98,0.0
256,TEX,True,114,114,1.0,114,20966.5,66.0,13.24,0.0
257,TEX,True,107,107,1.0,107,20038.0,63.25,12.27,0.0
258,TEX,True,104,104,1.0,104,15794.5,58.0,14.16,0.0
259,TEX,True,117,117,1.0,117,16479.5,55.75,12.2,0.0
260,TEX,True,123,123,1.0,123,22013.25,72.0,9.1,0.0
261,TEX,True,142,142,1.0,142,16437.5,85.5,34.81,0.0
262,TEX,True,123,123,1.0,123,17202.5,79.75,27.77,0.0
263,TEX,True,135,135,1.0,135,9411.75,50.5,22.51,0.0
264,TEX,True,106,106,1.0,106,13279.0,79.25,0.79,0.0
265,TEX,True,123,123,1.0,123,9254.25,54.0,7.59,0.0
266,TEX,True,113,113,1.0,113,8134.0,52.0,10.87,0.0
267,TEX,True,101,101,1.0,101,16498.25,61.0,8.86,0.0
268,TEX,True,138,138,1.0,138,13729.25,63.25,17.38,0.0
269,TEX,True,137,137,1.0,137,17588.0,78.75,15.36,0.0
270,TEX,True,151,151,1.0,151,20693.25,88.0,10.32,0.0
271,TEX,True,127,127,1.0,127,16767.5,69.75,7.91,0.0
272,TEX,True,124,124,1.0,124,20378.25,84.5,8.29,0.0
273,TEX,True,117,117,1.0,117,19079.75,70.0,4.39,0.0
274,TEX,True,106,106,1.0,106,18723.75,69.0,1.98,0.0
275,TEX,True,123,123,1.0,123,19207.0,75.0,7.39,0.0
276,TEX,True,100,100,1.0,100,11805.25,61.25,14.68,0.0
277,TEX,True,100,100,1.0,100,11488.75,59.75,5.24,0.0
278,TEX,True,119,119,1.0,119,17376.75,77.25,14.39,0.0
279,TEX,True,131,131,1.0,131,22238.75,70.5,14.69,0.0
280,TEX,True,150,150,1.0,150,20734.75,75.0,22.03,0.0
281,TEX,True,84,84,1.0,84,12050.5,49.5,16.4,0.0
282,TEX,True,111,111,1.0,111,21023.25,68.75,13.97,0.0
283,TEX,True,132,132,1.0,132,14622.75,58.75,25.16,0.0
284,TEX,True,145,145,1.0,145,20043.0,82.75,21.05,0.0
285,TEX,True,116,116,1.0,116,10639.0,59.75,12.29,0.0
286,TEX,True,115,115,1.0,115,16748.0,84.25,3.25,0.0
287,TEX,True,122,122,1.0,122,9445.5,54.5,10.0,0.0
288,TEX,True,112,112,1.0,112,13977.0,71.5,5.11,0.0
289,TEX,True,103,103,1.0,103,13320.25,71.25,6.1,0.0
290,TEX,True,116,116,1.0,116,15001.25,70.5,8.03,0.0
291,TEX,True,128,128,1.0,128,12967.5,48.25,12.08,0.0
292,TEX,True,87,87,1.0,87,14518.25,58.5,6.68,0.0
293,TEX,True,135,135,1.0,135,17163.0,64.0,8.64,0.0
294,TEX,True,108,108,1.0,108,20833.5,60.25,3.84,0.0
295,TEX,True,109,109,1.0,109,21961.75,64.0,6.75,0.0
296,TEX,True,105,105,1.0,105,26363.5,75.0,2.59,0.0
297,TEX,True,111,111,1.0,111,20573.75,65.5,7.76,0.0
298,TEX,True,135,135,1.0,135,19753.0,63.5,6.49,0.0
299,TEX,True,106,106,1.0,106,21934.0,69.0,3.78,0.0
300,TEX,True,119,119,1.0,119,16881.5,65.25,9.43,0.0
301,TEX,True,110,110,1.0,110,15379.75,64.25,14.78,0.0
302,TEX,True,128,128,1.0,128,16885.75,63.5,9.25,0.0
303,TEX,True,147,147,1.0,147,25057.25,90.75,13.64,0.0
304,TEX,True,104,104,1.0,104,20985.75,69.5,9.99,0.0
305,TEX,True,104,104,1.0,104,19333.0,65.25,8.61,0.0
306,TEX,True,142,142,1.0,142,16561.25,83.5,13.09,0.0
307,TEX,True,125,125,1.0,125,15111.75,73.75,18.59,0.0
308,TEX,True,106,106,1.0,106,9188.75,46.5,21.94,0.0
309,TEX,True,155,155,1.0,155,16556.0,83.5,6.21,0.0
310,TEX,True,123,123,1.0,123,15794.25,79.5,3.03,0.0
311,TEX,True,129,129,1.0,129,14240.5,72.75,5.92,0.0
312,TEX,True,133,133,1.0,133,16771.5,70.25,9.66,0.0
313,TEX,True,105,105,1.0,105,15969.25,64.25,3.55,0.0
314,TEX,True,137,137,1.0,137,27173.5,104.25,8.09,0.0
315,TEX,True,132,132,1.0,132,18880.0,70.75,2.16,0.0
316,TEX,True,112,112,1.0,112,13581.75,52.25,5.59,0.0
317,TEX,True,135,135,1.0,135,21910.25,83.5,7.61,0.0
318,TEX,True,113,113,1.0,113,20275.75,59.5,6.26,0.0
319,TEX,True,104,104,1.0,104,19651.25,60.25,3.58,0.0
320,TEX,True,120,120,1.0,120,24241.5,70.0,3.73,0.0
