Instance,IsCarbonAware,MaxMakeSpan,MinMakeSpan,SlackCoeff,Makespan,CarbonConsumption(g),EnergyConsumption(kWh),CarbonSavings(%),EnergySavings(%),Group
68,True,153,102,1.5,149,35969.75,190.0,44.53,9.52,Carbon-Aware
68,True,204,102,2.0,204,32913.75,192.75,49.24,8.21,Carbon-Aware
69,True,109,109,1.0,109,98446.5,280.75,15.51,5.15,Carbon-Aware
69,True,164,109,1.5,164,42024.0,284.25,63.93,3.97,Carbon-Aware
69,True,218,109,2.0,218,16001.25,282.25,86.27,4.65,Carbon-Aware
70,True,98,98,1.0,98,91042.75,220.0,11.65,-0.8,Carbon-Aware
70,True,147,98,1.5,147,27534.75,213.5,73.28,2.18,Carbon-Aware
70,True,196,98,2.0,196,13233.5,222.5,87.16,-1.95,Carbon-Aware
71,True,99,99,1.0,99,104517.75,285.0,10.04,1.89,Carbon-Aware
71,True,149,99,1.5,149,41377.0,281.25,64.39,3.18,Carbon-Aware
71,True,198,99,2.0,198,19345.0,282.75,83.35,2.67,Carbon-Aware
72,True,119,119,1.0,119,28633.25,352.0,27.89,1.54,Carbon-Aware
72,True,179,119,1.5,172,22222.75,347.25,44.03,2.87,Carbon-Aware
72,True,238,119,2.0,224,19145.25,350.0,51.78,2.1,Carbon-Aware
73,True,101,101,1.0,101,31027.0,314.75,33.13,1.87,Carbon-Aware
73,True,152,101,1.5,132,16791.0,312.75,63.81,2.49,Carbon-Aware
73,True,202,101,2.0,202,16935.0,311.75,63.5,2.81,Carbon-Aware
74,True,106,106,1.0,106,22632.5,303.75,34.33,0.49,Carbon-Aware
74,True,159,106,1.5,136,16360.75,300.25,52.53,1.64,Carbon-Aware
74,True,212,106,2.0,212,15852.25,298.0,54.0,2.38,Carbon-Aware
75,True,111,111,1.0,111,73734.5,410.25,9.61,2.21,Carbon-Aware
75,True,167,111,1.5,165,41571.5,406.0,49.04,3.22,Carbon-Aware
75,True,222,111,2.0,220,31815.25,400.5,61.0,4.53,Carbon-Aware
76,True,93,93,1.0,93,88318.75,367.5,1.43,0.88,Carbon-Aware
76,True,140,93,1.5,140,40062.5,369.5,55.29,0.34,Carbon-Aware
76,True,186,93,2.0,186,40677.5,365.25,54.6,1.48,Carbon-Aware
77,True,113,113,1.0,113,36198.5,297.5,36.16,2.62,Carbon-Aware
77,True,170,113,1.5,165,22406.5,288.75,60.48,5.48,Carbon-Aware
77,True,226,113,2.0,220,18683.5,298.0,67.05,2.45,Carbon-Aware
78,True,98,98,1.0,98,28364.75,244.75,35.39,0.71,Carbon-Aware
78,True,147,98,1.5,139,18682.25,240.5,57.44,2.43,Carbon-Aware
78,True,196,98,2.0,196,16591.75,245.5,62.21,0.41,Carbon-Aware
79,True,94,94,1.0,94,46479.75,227.25,24.09,4.52,Carbon-Aware
79,True,141,94,1.5,136,18575.0,224.25,69.66,5.78,Carbon-Aware
79,True,188,94,2.0,187,19121.0,230.0,68.77,3.36,Carbon-Aware
80,True,104,104,1.0,104,56175.0,296.25,20.77,3.89,Carbon-Aware
80,True,156,104,1.5,145,30794.5,291.75,56.57,5.35,Carbon-Aware
80,True,208,104,2.0,208,19666.75,296.5,72.26,3.81,Carbon-Aware
81,True,112,112,1.0,112,58582.75,304.0,32.72,2.95,Carbon-Aware
81,True,168,112,1.5,149,23201.75,312.5,73.35,0.24,Carbon-Aware
81,True,224,112,2.0,224,14865.25,303.75,82.93,3.03,Carbon-Aware
82,True,113,113,1.0,113,51977.25,271.5,27.05,2.07,Carbon-Aware
82,True,170,113,1.5,170,19993.5,269.0,71.94,2.98,Carbon-Aware
82,True,226,113,2.0,226,12629.25,271.0,82.27,2.25,Carbon-Aware
83,True,98,98,1.0,98,109608.75,274.5,8.3,1.7,Carbon-Aware
83,True,147,98,1.5,144,18783.75,273.0,84.29,2.24,Carbon-Aware
83,True,196,98,2.0,196,18581.0,268.75,84.46,3.76,Carbon-Aware
84,True,102,102,1.0,102,81081.25,317.5,2.8,0.7,Carbon-Aware
84,True,153,102,1.5,153,19040.0,316.5,77.18,1.02,Carbon-Aware
84,True,204,102,2.0,202,14961.75,314.0,82.06,1.8,Carbon-Aware
85,True,112,112,1.0,112,29234.75,240.25,45.42,-2.67,Carbon-Aware
85,True,168,112,1.5,168,11368.0,237.5,78.78,-1.5,Carbon-Aware
85,True,224,112,2.0,224,10096.75,233.25,81.15,0.32,Carbon-Aware
86,True,107,107,1.0,107,58551.75,301.25,18.17,-0.08,Carbon-Aware
86,True,161,107,1.5,161,17243.5,301.25,75.9,-0.08,Carbon-Aware
86,True,214,107,2.0,214,13946.25,300.25,80.51,0.25,Carbon-Aware
87,True,96,96,1.0,96,13032.5,236.5,24.54,-1.28,Carbon-Aware
87,True,144,96,1.5,138,10342.5,223.25,40.11,4.39,Carbon-Aware
87,True,192,96,2.0,136,10156.0,229.0,41.19,1.93,Carbon-Aware
88,True,109,109,1.0,109,15078.25,282.5,29.72,1.22,Carbon-Aware
88,True,164,109,1.5,140,13402.5,278.5,37.53,2.62,Carbon-Aware
88,True,218,109,2.0,218,12944.75,277.75,39.67,2.88,Carbon-Aware
89,True,114,114,1.0,114,14566.75,283.5,11.72,0.87,Carbon-Aware
89,True,171,114,1.5,139,12729.5,273.25,22.86,4.46,Carbon-Aware
89,True,228,114,2.0,216,12490.75,274.25,24.3,4.11,Carbon-Aware
90,True,100,100,1.0,100,27813.5,247.25,17.97,0.7,Carbon-Aware
90,True,150,100,1.5,133,13922.5,245.5,58.94,1.41,Carbon-Aware
90,True,200,100,2.0,195,14180.75,247.5,58.18,0.6,Carbon-Aware
91,True,109,109,1.0,109,30594.75,256.5,14.17,2.93,Carbon-Aware
91,True,164,109,1.5,150,17292.25,255.75,51.49,3.22,Carbon-Aware
91,True,218,109,2.0,218,16643.0,262.0,53.31,0.85,Carbon-Aware
92,True,124,124,1.0,124,22274.75,262.25,37.07,-3.45,Carbon-Aware
92,True,186,124,1.5,158,17860.0,257.25,49.55,-1.48,Carbon-Aware
92,True,248,124,2.0,224,17168.5,256.0,51.5,-0.99,Carbon-Aware
93,True,117,117,1.0,117,36711.5,315.75,24.07,0.94,Carbon-Aware
93,True,176,117,1.5,148,33377.25,312.75,30.96,1.88,Carbon-Aware
93,True,234,117,2.0,220,29320.25,310.75,39.36,2.51,Carbon-Aware
94,True,108,108,1.0,108,44269.75,296.75,14.98,-0.59,Carbon-Aware
94,True,162,108,1.5,161,31307.75,291.75,39.87,1.1,Carbon-Aware
94,True,216,108,2.0,216,28391.75,298.0,45.47,-1.02,Carbon-Aware
95,True,95,95,1.0,95,32050.0,251.5,20.48,1.95,Carbon-Aware
95,True,143,95,1.5,132,21495.0,245.75,46.67,4.19,Carbon-Aware
95,True,190,95,2.0,190,21546.25,242.5,46.54,5.46,Carbon-Aware
96,True,100,100,1.0,100,63372.5,305.75,24.63,1.45,Carbon-Aware
96,True,150,100,1.5,132,38438.0,297.25,54.29,4.19,Carbon-Aware
96,True,200,100,2.0,200,29647.75,310.75,64.74,-0.16,Carbon-Aware
97,True,91,91,1.0,91,80552.25,282.25,10.64,5.44,Carbon-Aware
97,True,137,91,1.5,137,38196.75,283.25,57.63,5.11,Carbon-Aware
97,True,182,91,2.0,182,38630.5,279.0,57.15,6.53,Carbon-Aware
98,True,82,82,1.0,82,75794.0,282.5,10.15,1.82,Carbon-Aware
98,True,123,82,1.5,123,36240.0,283.75,57.04,1.39,Carbon-Aware
98,True,164,82,2.0,164,37006.75,274.5,56.13,4.6,Carbon-Aware
99,True,98,98,1.0,98,45298.0,232.25,34.01,3.03,Carbon-Aware
99,True,147,98,1.5,147,19214.5,227.0,72.01,5.22,Carbon-Aware
99,True,196,98,2.0,196,13892.0,234.25,79.76,2.19,Carbon-Aware
100,True,110,110,1.0,110,100477.0,339.0,1.23,0.07,Carbon-Aware
100,True,165,110,1.5,165,43099.25,337.75,57.63,0.44,Carbon-Aware
100,True,220,110,2.0,220,20261.5,331.5,80.08,2.28,Carbon-Aware
101,True,123,123,1.0,123,57064.25,333.75,21.03,4.44,Carbon-Aware
101,True,185,123,1.5,185,35753.25,329.25,50.52,5.73,Carbon-Aware
101,True,246,123,2.0,246,15583.25,333.0,78.44,4.65,Carbon-Aware
102,True,90,90,1.0,90,43562.0,256.25,15.54,1.06,Carbon-Aware
102,True,135,90,1.5,135,13241.75,257.0,74.33,0.77,Carbon-Aware
102,True,180,90,2.0,168,11622.0,254.25,77.47,1.83,Carbon-Aware
103,True,95,95,1.0,95,30534.0,242.75,31.18,0.72,Carbon-Aware
103,True,143,95,1.5,141,10913.5,244.75,75.4,-0.1,Carbon-Aware
103,True,190,95,2.0,190,10692.75,239.75,75.9,1.94,Carbon-Aware
104,True,119,119,1.0,119,47966.25,359.5,10.11,-0.14,Carbon-Aware
104,True,179,119,1.5,168,17873.25,365.0,66.5,-1.67,Carbon-Aware
104,True,238,119,2.0,232,17152.5,358.0,67.86,0.28,Carbon-Aware
105,True,100,100,1.0,100,14104.0,229.25,10.8,3.58,Carbon-Aware
105,True,150,100,1.5,150,10861.75,230.0,31.31,3.26,Carbon-Aware
105,True,200,100,2.0,191,10700.25,221.75,32.33,6.73,Carbon-Aware
106,True,108,108,1.0,108,19380.75,352.0,12.82,2.43,Carbon-Aware
106,True,162,108,1.5,152,17337.0,349.75,22.01,3.05,Carbon-Aware
106,True,216,108,2.0,208,17011.0,346.5,23.48,3.95,Carbon-Aware
107,True,98,98,1.0,98,17973.5,288.0,6.24,2.78,Carbon-Aware
107,True,147,98,1.5,147,14618.25,284.75,23.75,3.88,Carbon-Aware
107,True,196,98,2.0,152,14234.0,283.75,25.75,4.22,Carbon-Aware
108,True,104,104,1.0,104,21639.5,226.5,15.29,1.84,Carbon-Aware
108,True,156,104,1.5,156,12106.75,224.25,52.61,2.82,Carbon-Aware
108,True,208,104,2.0,208,12138.5,226.25,52.48,1.95,Carbon-Aware
109,True,103,103,1.0,103,26827.5,311.0,7.5,-1.97,Carbon-Aware
109,True,155,103,1.5,155,17145.5,294.75,40.88,3.36,Carbon-Aware
109,True,206,103,2.0,206,16473.5,292.75,43.2,4.02,Carbon-Aware
110,True,108,108,1.0,108,22586.25,260.5,27.33,2.62,Carbon-Aware
110,True,162,108,1.5,156,14527.5,263.5,53.26,1.5,Carbon-Aware
110,True,216,108,2.0,216,13768.5,261.5,55.7,2.24,Carbon-Aware
111,True,108,108,1.0,108,24834.75,281.5,25.75,2.34,Carbon-Aware
111,True,162,108,1.5,152,16194.5,278.0,51.58,3.56,Carbon-Aware
111,True,216,108,2.0,214,15101.0,276.5,54.85,4.08,Carbon-Aware
112,True,98,98,1.0,98,35235.25,289.5,5.29,2.77,Carbon-Aware
112,True,147,98,1.5,147,17329.75,287.75,53.42,3.36,Carbon-Aware
112,True,196,98,2.0,196,15986.5,285.25,57.03,4.2,Carbon-Aware
113,True,89,89,1.0,89,27714.0,294.5,22.56,0.76,Carbon-Aware
113,True,134,89,1.5,128,16429.0,296.0,54.09,0.25,Carbon-Aware
113,True,178,89,2.0,178,16696.25,288.25,53.34,2.86,Carbon-Aware
