Instance,IsCarbonAware,MaxMakeSpan,MinMakeSpan,SlackCoeff,Makespan,CarbonConsumption(g),EnergyConsumption(kWh),CarbonSavings(%),EnergySavings(%)
45,True,158,105,1.5,158,51498.5,177.0,11.35,7.09
45,True,210,105,2.0,210,44740.25,165.75,22.98,12.99
46,True,84,84,1.0,84,66128.75,208.5,10.92,6.92
46,True,126,84,1.5,126,59056.25,207.25,20.45,7.48
46,True,168,84,2.0,168,58176.5,205.75,21.63,8.15
47,True,100,100,1.0,100,54274.25,199.25,27.43,8.81
47,True,150,100,1.5,150,58343.5,197.25,21.99,9.73
47,True,200,100,2.0,196,49675.25,201.0,33.58,8.01
48,True,102,102,1.0,102,47748.75,189.75,20.57,6.06
48,True,153,102,1.5,152,48466.25,187.0,19.37,7.43
48,True,204,102,2.0,204,47890.75,174.75,20.33,13.49
49,True,112,112,1.0,112,44451.5,168.75,20.6,9.03
49,True,168,112,1.5,168,44394.5,175.0,20.7,5.66
49,True,224,112,2.0,224,45015.5,153.0,19.59,17.52
50,True,70,70,1.0,70,65136.25,201.25,5.38,4.39
50,True,105,70,1.5,105,50575.75,199.25,26.53,5.34
50,True,140,70,2.0,133,52937.25,208.25,23.1,1.07
51,True,91,91,1.0,91,46864.5,181.0,18.9,1.09
51,True,137,91,1.5,137,49010.0,178.0,15.19,2.73
51,True,182,91,2.0,182,49307.25,170.0,14.67,7.1
52,True,103,103,1.0,103,56195.75,208.75,10.72,0.24
52,True,155,103,1.5,155,56948.5,200.75,9.53,4.06
52,True,206,103,2.0,206,57613.75,191.25,8.47,8.6
53,True,102,102,1.0,102,52617.75,198.75,14.47,2.21
53,True,153,102,1.5,153,53556.0,193.5,12.94,4.8
53,True,204,102,2.0,203,53304.0,183.0,13.35,9.96
54,True,101,101,1.0,101,71906.25,221.25,9.15,3.8
54,True,152,101,1.5,150,73917.25,225.5,6.6,1.96
54,True,202,101,2.0,202,68620.25,210.75,13.3,8.37
55,True,105,105,1.0,105,50070.5,153.0,11.8,8.66
55,True,158,105,1.5,158,50349.5,155.0,11.31,7.46
55,True,210,105,2.0,210,48336.25,141.25,14.86,15.67
56,True,104,104,1.0,104,66094.5,202.25,8.1,1.22
56,True,156,104,1.5,156,66028.75,193.5,8.19,5.49
56,True,208,104,2.0,208,63202.0,189.5,12.12,7.45
57,True,100,100,1.0,100,67250.0,209.25,9.2,4.23
