Instance,IsCarbonAware,SlackCoeff,Homogen_MaxMakeSpan,Heterogen_MaxMakeSpan
554,True,1.0,129,107.0
555,True,1.0,130,111.0
556,True,1.0,123,102.0
557,True,1.0,108,98.0
558,True,1.0,116,114.0
559,True,1.0,111,105.0
560,True,1.0,89,85.0
561,True,1.0,95,92.0
562,True,1.0,122,106.0
563,True,1.0,126,112.0
564,True,1.0,131,111.0
565,True,1.0,102,91.0
566,True,1.0,101,99.0
567,True,1.0,144,121.0
568,True,1.0,105,99.0
569,True,1.0,111,104.0
570,True,1.0,117,106.0
571,True,1.0,104,90.0
572,True,1.0,156,116.0
573,True,1.0,113,101.0
574,True,1.0,104,95.0
575,True,1.0,111,106.0
576,True,1.0,94,88.0
577,True,1.0,113,101.0
578,True,1.0,143,119.0
579,True,1.0,106,
580,True,1.0,110,96.0
581,True,1.0,121,110.0
582,True,1.0,103,99.0
583,True,1.0,118,107.0
584,True,1.0,103,94.0
585,True,1.0,114,99.0
586,True,1.0,112,106.0
587,True,1.0,117,103.0
588,True,1.0,115,103.0
589,True,1.0,122,108.0
590,True,1.0,139,119.0
591,True,1.0,101,96.0
592,True,1.0,117,101.0
593,True,1.0,112,104.0
594,True,1.0,125,105.0
595,True,1.0,100,90.0
596,True,1.0,125,100.0
597,True,1.0,114,109.0
598,True,1.0,105,99.0
599,True,1.0,121,113.0
600,True,1.0,104,90.0
601,True,1.0,114,101.0
602,True,1.0,130,108.0
603,True,1.0,123,106.0
604,True,1.0,156,126.0
605,True,1.0,96,87.0
606,True,1.0,135,119.0
607,True,1.0,100,94.0
608,True,1.0,109,96.0
609,True,1.0,98,93.0
610,True,1.0,110,107.0
611,True,1.0,124,113.0
612,True,1.0,107,103.0
613,True,1.0,111,97.0
614,True,1.0,122,108.0
615,True,1.0,123,108.0
616,True,1.0,112,96.0
617,True,1.0,128,110.0
618,True,1.0,102,90.0
619,True,1.0,117,105.0
620,True,1.0,104,95.0
621,True,1.0,92,85.0
622,True,1.0,127,111.0
623,True,1.0,98,93.0
624,True,1.0,122,107.0
625,True,1.0,116,103.0
626,True,1.0,118,107.0
627,True,1.0,167,120.0
628,True,1.0,111,103.0
629,True,1.0,114,108.0
630,True,1.0,92,86.0
631,True,1.0,117,95.0
632,True,1.0,129,113.0
633,True,1.0,113,100.0
634,True,1.0,99,90.0
635,True,1.0,129,103.0
636,True,1.0,133,108.0
637,True,1.0,109,102.0
638,True,1.0,112,106.0
639,True,1.0,110,102.0
640,True,1.0,140,107.0
641,True,1.0,114,105.0
642,True,1.0,113,111.0
643,True,1.0,116,
644,True,1.0,110,101.0
645,True,1.0,101,92.0
646,True,1.0,117,105.0
647,True,1.0,124,108.0
648,True,1.0,149,131.0
649,True,1.0,102,87.0
650,True,1.0,117,101.0
651,True,1.0,122,109.0
652,True,1.0,105,92.0
653,True,1.0,108,103.0
654,True,1.0,100,94.0
655,True,1.0,104,85.0
656,True,1.0,98,93.0
657,True,1.0,113,96.0
658,True,1.0,109,104.0
659,True,1.0,92,88.0
660,True,1.0,131,114.0
661,True,1.0,100,92.0
662,True,1.0,128,109.0
663,True,1.0,103,99.0
664,True,1.0,135,99.0
665,True,1.0,112,102.0
666,True,1.0,110,101.0
667,True,1.0,112,108.0
668,True,1.0,119,104.0
669,True,1.0,115,106.0
670,True,1.0,123,105.0
671,True,1.0,104,90.0
