Instance,IsCarbonAware,MaxMakeSpan,MinMakeSpan,SlackCoeff,Makespan,CarbonConsumption(g),EnergyConsumption(kWh),CarbonSavings(%),EnergySavings(%)
62,True,91,91,1.0,91,16079.25,337.75,7.92,3.29
62,True,137,91,1.5,136,16913.75,324.5,3.14,7.09
62,True,182,91,2.0,182,17805.5,318.25,-1.96,8.88
63,True,122,122,1.0,122,37323.75,375.0,8.58,2.98
63,True,183,122,1.5,183,42922.0,367.5,-5.13,4.92
63,True,244,122,2.0,244,53093.75,349.5,-30.05,9.57
64,True,106,106,1.0,106,29590.75,317.0,19.57,1.93
64,True,159,106,1.5,159,32693.5,302.25,11.14,6.5
64,True,212,106,2.0,212,40608.25,294.25,-10.38,8.97
65,True,98,98,1.0,98,19328.5,207.75,9.99,9.08
65,True,147,98,1.5,147,22835.25,196.5,-6.34,14.0
65,True,196,98,2.0,196,25341.5,191.5,-18.01,16.19
66,True,115,115,1.0,115,79943.0,303.5,3.3,1.38
66,True,173,115,1.5,173,79503.25,288.5,3.83,6.26
66,True,230,115,2.0,230,63088.5,280.0,23.68,9.02
67,True,117,117,1.0,117,86783.0,333.0,7.06,1.11
67,True,176,117,1.5,176,97796.75,317.25,-4.74,5.79
67,True,234,117,2.0,234,74018.0,307.5,20.73,8.69
68,True,102,102,1.0,102,55867.0,192.25,13.83,7.9
68,True,153,102,1.5,150,43762.5,181.25,32.5,13.17
68,True,204,102,2.0,204,43029.75,176.0,33.63,15.69
69,True,109,109,1.0,109,100077.25,275.5,17.74,2.39
69,True,164,109,1.5,164,67768.25,262.75,44.3,6.91
69,True,218,109,2.0,218,28447.25,259.25,76.62,8.15
70,True,98,98,1.0,98,92389.0,213.5,10.73,3.94
70,True,147,98,1.5,147,47096.75,202.0,54.49,9.11
70,True,196,98,2.0,196,27139.0,196.5,73.78,11.59
71,True,99,99,1.0,99,111117.5,280.25,8.57,1.23
71,True,149,99,1.5,149,59773.75,266.75,50.82,5.99
71,True,198,99,2.0,198,31607.75,260.0,73.99,8.37
72,True,119,119,1.0,119,30331.0,347.25,28.74,3.14
72,True,179,119,1.5,177,38016.75,330.0,10.68,7.95
72,True,238,119,2.0,238,31302.5,320.25,26.46,10.67
73,True,101,101,1.0,101,35491.25,309.25,22.61,1.59
73,True,152,101,1.5,144,23834.75,298.75,48.03,4.93
73,True,202,101,2.0,202,29449.25,286.75,35.78,8.75
74,True,106,106,1.0,106,27434.0,294.25,23.02,3.6
74,True,159,106,1.5,159,24879.5,280.5,30.19,8.11
74,True,212,106,2.0,212,29444.0,270.0,17.38,11.55
75,True,111,111,1.0,111,81639.0,405.75,-0.48,2.81
75,True,167,111,1.5,166,59116.0,388.5,27.24,6.95
75,True,222,111,2.0,222,45584.75,386.25,43.89,7.49
76,True,93,93,1.0,93,89124.5,368.0,0.2,1.14
76,True,140,93,1.5,140,46967.0,356.75,47.41,4.16
76,True,186,93,2.0,186,57074.0,347.5,36.09,6.65
77,True,113,113,1.0,113,44575.75,290.75,31.1,0.68
77,True,170,113,1.5,170,40548.0,273.75,37.32,6.49
77,True,226,113,2.0,226,33387.5,268.75,48.39,8.2
78,True,98,98,1.0,98,34400.75,237.0,31.72,3.27
78,True,147,98,1.5,143,30137.25,225.5,40.18,7.96
78,True,196,98,2.0,196,29860.75,223.75,40.73,8.67
79,True,94,94,1.0,94,52975.75,221.5,21.5,5.64
79,True,141,94,1.5,141,29217.75,211.75,56.7,9.8
79,True,188,94,2.0,188,30088.0,208.75,55.41,11.08
80,True,104,104,1.0,104,62168.75,289.75,11.57,3.17
80,True,156,104,1.5,147,50962.0,279.0,27.51,6.77
80,True,208,104,2.0,208,35243.25,274.25,49.87,8.35
81,True,112,112,1.0,112,68348.75,300.75,27.64,1.55
81,True,168,112,1.5,168,44851.75,292.0,52.51,4.42
81,True,224,112,2.0,224,34152.0,280.25,63.84,8.27
82,True,113,113,1.0,113,70819.75,261.0,11.19,5.0
82,True,170,113,1.5,170,42420.25,252.0,46.81,8.28
